,bitfinex_MTS,bitfinex_OPEN,bitfinex_CLOSE,bitfinex_HIGH,bitfinex_LOW,bitfinex_VOLUME
93,2020/04/26 3:00,7565.907645,7562.6,7569.3,7549.4,72.93851929
94,2020/04/26 2:00,7559.5,7565.907645,7578.6,7550.528385,34.71662661
95,2020/04/26 1:00,7561.1,7560.930204,7572.183533,7556.589693,43.10753247
96,2020/04/26 0:00,7538.6,7561.1,7561.1,7522.3,69.52984338
97,2020/04/25 23:00,7528.1,7538.5,7540,7507.2,170.1625154
98,2020/04/25 22:00,7528.2,7528.037237,7550.885222,7520.5,38.06087292
99,2020/04/25 21:00,7548.7,7528.8,7548.7,7502.4,136.07317
100,2020/04/25 20:00,7542.1,7548.7,7559.745822,7542,46.43454219
101,2020/04/25 19:00,7534.5,7541.8,7545.8,7521,46.00609304
102,2020/04/25 18:00,7537,7534.530436,7544.486726,7520.245325,41.9321749
103,2020/04/25 17:00,7552,7537,7552.1,7516,126.21848
104,2020/04/25 16:00,7532.2,7552,7565.2,7472.202132,184.9541676
105,2020/04/25 15:00,7581.8,7526.4,7700,7499.3,1441.248426
106,2020/04/25 14:00,7592.8,7580.1,7598.2,7534.1,222.1959733
107,2020/04/25 13:00,7552.81974,7592.8,7592.8,7552.81974,164.7326288
108,2020/04/25 12:00,7537,7552.9,7555.308813,7530,28.55402365
109,2020/04/25 11:00,7561.5,7537,7592.7,7512,397.8201442
110,2020/04/25 10:00,7558.6,7559.1,7570.1,7523,725.6751977
111,2020/04/25 9:00,7550,7558.2,7559.204752,7535.6,57.9599548
112,2020/04/25 8:00,7561,7550,7573.9,7514.8,112.187647
113,2020/04/25 7:00,7583.5,7560.4,7586.5,7550,104.4881746
114,2020/04/25 6:00,7561.6,7583.767197,7583.8,7519,569.8883093
115,2020/04/25 5:00,7525.5,7561.6,7561.6,7525.115249,144.8677023
116,2020/04/25 4:00,7526.4,7525.872793,7527,7506,22.9597448
117,2020/04/25 3:00,7496.3,7526.5,7527,7494.9,21.46771921
118,2020/04/25 2:00,7488.1,7498.3,7507.2,7483.2,140.5313588
119,2020/04/25 1:00,7477.17355,7489.3,7501.9,7458.9,47.80550949
120,2020/04/25 0:00,7508.4,7478,7515,7450,180.2964191
121,2020/04/24 23:00,7492.844693,7508.3,7514.7,7492.519943,30.67126603
122,2020/04/24 22:00,7502.478938,7495,7524.670177,7464.8,234.5069559
123,2020/04/24 21:00,7536.4,7502.478938,7557,7499,1613.827266
124,2020/04/24 20:00,7531.7,7538,7550.6,7531.7,164.3694324
125,2020/04/24 19:00,7525.8,7531.9,7535.5,7514.03827,77.29914173
126,2020/04/24 18:00,7520.761529,7525.7,7556.9,7520,541.7715889
127,2020/04/24 17:00,7529.1,7520.869451,7529.2,7511.8,30.32823628
128,2020/04/24 16:00,7522.9,7529.1,7532.6,7501,64.38252856
129,2020/04/24 15:00,7514.4,7522.9,7534.9,7501,125.0732082
130,2020/04/24 14:00,7488,7512.1,7521.3,7420.1,1003.601468
131,2020/04/24 13:00,7519.1,7488,7541.426736,7484.7,1234.302137
132,2020/04/24 12:00,7499.6,7518.8,7550.8,7462.066446,875.4082703
133,2020/04/24 11:00,7540.9,7499.622294,7613,7499.3,1070.850969
134,2020/04/24 10:00,7590.2,7540.805052,7590.5,7520,166.5528981
135,2020/04/24 9:00,7569.5,7590.3,7614,7560.3,194.8883293
136,2020/04/24 8:00,7586,7569.6,7593.216341,7536.8,112.3128287
137,2020/04/24 7:00,7543.927576,7586,7594.3,7542.8,452.9789298
138,2020/04/24 6:00,7509.046745,7543.927576,7546,7503.3,137.9014591
139,2020/04/24 5:00,7556.2,7509,7556.3,7509,49.77453088
140,2020/04/24 4:00,7536.7,7556.2,7556.2,7511.2,73.69497621
141,2020/04/24 3:00,7534.767498,7536.689273,7556.8,7523.6,62.75472997
142,2020/04/24 2:00,7500.6,7534.8,7545.8,7494.2,140.7408318
143,2020/04/24 1:00,7508,7500.6,7535.6,7487,161.7032283
144,2020/04/24 0:00,7499,7509.9,7535,7487.7,185.2195012
145,2020/04/23 23:00,7573.2,7498.9,7573.3,7457.5,447.0691837
146,2020/04/23 22:00,7605.5,7573.2,7607.3,7558,231.8544986
147,2020/04/23 21:00,7544.8,7601.1,7613.6,7544.71721,537.187699
148,2020/04/23 20:00,7533.524516,7544.8,7560,7525.2,574.0601487
149,2020/04/23 19:00,7548.309494,7534.5,7557.9,7515.2,434.15366
150,2020/04/23 18:00,7566.6,7548.4,7583.5,7514,503.4987076
151,2020/04/23 17:00,7520.9,7566.6,7567.6,7520.9,233.1925167
152,2020/04/23 16:00,7547.6,7520.9,7600.7,7503.3,643.9520983
153,2020/04/23 15:00,7555.4,7545.2,7571.9,7480.3,789.0326214
154,2020/04/23 14:00,7259.9,7555.4,7773.9,7259.9,7012.397124
155,2020/04/23 13:00,7185,7260.1,7270.1,7169.1,1967.030584
156,2020/04/23 12:00,7138.7,7185,7189.7,7121.5,786.7420285
157,2020/04/23 11:00,7075,7138.7,7149,7075,288.2062728
158,2020/04/23 10:00,7106,7075,7109.6,7074.2,443.3080552
159,2020/04/23 9:00,7095.3,7105.9,7105.9,7068.1,90.54321491
160,2020/04/23 8:00,7065.1,7094.7,7112.03221,7061.5,105.6168681
161,2020/04/23 7:00,7051.8,7065.1,7081,7047.4,87.78540297
162,2020/04/23 6:00,7112.1,7051.1,7112.1,7042,352.3916266
163,2020/04/23 5:00,7142.9,7113.303778,7149.4,7108,95.67018736
164,2020/04/23 4:00,7127.2,7144,7144.980099,7112,51.76912184
165,2020/04/23 3:00,7142.960024,7127.3,7167.512601,7126.1,38.77956906
166,2020/04/23 2:00,7185,7142.960024,7189,7140.1,135.3303687
167,2020/04/23 1:00,7126.481526,7185,7187.7,7125.2,291.7914799
168,2020/04/23 0:00,7133,7126.481526,7149.2,7110.5,240.8087136
169,2020/04/22 23:00,7119.6,7133,7133,7111,364.2651765
170,2020/04/22 22:00,7101.5569,7119.6,7120.3,7098.4,407.4138476
171,2020/04/22 21:00,7124.6,7101.6,7140,7101.4,81.5737108
172,2020/04/22 20:00,7100.3,7124.576741,7124.6,7095,33.09044784
173,2020/04/22 19:00,7107.5,7100.3,7130,7098.6,115.6178209
174,2020/04/22 18:00,7095.438394,7108.1,7129,7095,111.7545224
175,2020/04/22 17:00,7134.9,7095.438394,7137.8,7090.4,184.880822
176,2020/04/22 16:00,7125.1,7134.9,7164,7114.9,481.4112285
177,2020/04/22 15:00,7107.3,7125.1,7125.3,7094.2,287.0038375
178,2020/04/22 14:00,7075.9,7107.3,7148,7063.3,648.6189529
179,2020/04/22 13:00,6965,7076.3,7120.8,6955.6,1140.593261
180,2020/04/22 12:00,6963.90521,6965.6,6978.3,6939,115.4718753
181,2020/04/22 11:00,6945.133059,6964,6971,6945.133059,44.28753082
182,2020/04/22 10:00,6963.2,6945.2,6964.2,6939.914238,98.82206081
183,2020/04/22 9:00,6959.4,6961.4,6989.830551,6952.763319,177.1151121
184,2020/04/22 8:00,6953,6956.9,6960,6934.3,90.10271207
185,2020/04/22 7:00,6941.7,6952.908594,6975,6927.3,316.5653402
186,2020/04/22 6:00,6912.1,6941.690476,6941.7,6892.3,140.94213
187,2020/04/22 5:00,6862.3,6910.5,6920.7,6861.940116,54.40028598
188,2020/04/22 4:00,6869.5,6862.31191,6880.9,6856.863862,38.8377924
189,2020/04/22 3:00,6876.9,6869.6,6881.4,6861,38.23755482
190,2020/04/22 2:00,6859.00564,6878.6,6892.4,6853.4,33.39039437
191,2020/04/22 1:00,6842.4,6858,6858,6826.2,48.21664908
192,2020/04/22 0:00,6849.940543,6842.5,6870.1,6826.178304,92.92789164
193,2020/04/21 23:00,6899.8,6850,6905,6838.3,73.26281754
194,2020/04/21 22:00,6898.4,6899.9,6906.5,6867.1,342.9450318
195,2020/04/21 21:00,6895,6898.1,6917,6879,49.42257195
196,2020/04/21 20:00,6880.6,6894.8,6898.2,6870,89.32903665
197,2020/04/21 19:00,6881.8,6880.7,6905,6878.6,87.26770023
198,2020/04/21 18:00,6902.93875,6881.8,6914.2,6875.3,210.2401937
199,2020/04/21 17:00,6858.8,6902.3,6958.8,6818,594.3573584
200,2020/04/21 16:00,6844.168395,6857.2,6872.4,6826.4,214.2635347
201,2020/04/21 15:00,6827.5,6844.168395,6859.7,6814.4,255.9586997
202,2020/04/21 14:00,6845.645147,6826,6898.1,6824.5,329.6376183
203,2020/04/21 13:00,6820.3,6845.60037,6852,6796.1,439.3812639
204,2020/04/21 12:00,6806.1,6820.3,6851.9,6795.7,414.7360182
205,2020/04/21 11:00,6817.1,6806.068817,6843,6770.1,342.0284215
206,2020/04/21 10:00,6847.7,6817,6861.8,6813,192.829721
207,2020/04/21 9:00,6870.5,6847.8,6882.197066,6780.4,758.8834188
208,2020/04/21 8:00,6893.6,6870.5,6914.206364,6861.8,146.8963393
209,2020/04/21 7:00,6887.7,6893.6,6898.1,6871.2,200.6585042
210,2020/04/21 6:00,6893.6,6887.8,6906.5,6880,285.2757278
211,2020/04/21 5:00,6849.97694,6892.9,6893.9,6847.810784,210.5338097
212,2020/04/21 4:00,6860.9,6850,6867.4,6832.3,147.8249215
213,2020/04/21 3:00,6852,6860.9,6872.8,6844.909604,127.3971433
214,2020/04/21 2:00,6880,6852,6893.9,6839.834889,644.2874256
215,2020/04/21 1:00,6893.051551,6879.998284,6918.1,6879.998284,60.9284208
216,2020/04/21 0:00,6837.1,6893.097155,6923,6825,244.4214654
217,2020/04/20 23:00,6889.3,6837.7,6897.9,6835,161.9104849
218,2020/04/20 22:00,6858.1,6890,6900,6852.7,119.5203916
219,2020/04/20 21:00,6870,6858.5,6890,6843.4,176.7896379
220,2020/04/20 20:00,6779.1,6870.1,6876.979145,6766,780.505576
221,2020/04/20 19:00,6871.588773,6779.8,6905.173269,6774.6,745.5891671
222,2020/04/20 18:00,6882.2,6870.2,6997.8,6838.9,972.8178864
223,2020/04/20 17:00,7055.6,6882.2,7055.6,6850,1095.987201
224,2020/04/20 16:00,7082.939013,7054.701858,7093.1,7040.5,81.06301859
225,2020/04/20 15:00,7083.2,7083,7114.4,7071.7,210.6039519
226,2020/04/20 14:00,7036,7083.147494,7135.9,7021,832.2260083
227,2020/04/20 13:00,7038.1,7036,7058,7021,223.6682866
